Season,Team,Total_WAR,Batter_WAR,SP_WAR,RP_WAR,Top3_WAR_Ratio,Gini_Coefficient
2010,- - -,44.2,13.7,29.2,1.2999999999999998,0.3484162895927601,0.811518176146997
2010,ARI,17.799999999999997,19.799999999999997,0.9999999999999998,-3.0,0.8033707865168541,0.8762492651381539
2010,ATL,35.7,20.1,9.799999999999999,5.8,0.40616246498599434,0.7492589281513198
2010,BAL,19.5,9.899999999999999,7.299999999999999,2.3000000000000016,0.42051282051282046,0.7903891878363158
2010,BOS,42.9,26.4,15.499999999999998,0.9999999999999997,0.36130536130536134,0.7940883757961784
2010,CHC,25.799999999999997,13.6,11.1,1.1,0.40310077519379844,0.7841214123477184
2010,CHW,37.9,15.900000000000002,15.299999999999999,6.700000000000001,0.32981530343007914,0.7573668559070019
2010,CIN,48.199999999999996,35.39999999999999,9.899999999999999,2.9000000000000004,0.3443983402489627,0.7431035617881361
2010,CLE,15.700000000000003,6.900000000000003,8.000000000000002,0.8,0.7261146496815285,0.8362055335968379
2010,COL,35.7,13.900000000000002,16.1,5.7,0.4817927170868347,0.8006379585326956
2010,DET,40.900000000000006,23.299999999999994,14.299999999999999,3.3000000000000003,0.41075794621026884,0.7712185870080607
2010,FLA,29.9,14.600000000000001,14.0,1.2999999999999994,0.4949832775919733,0.8483006355346783
2010,HOU,18.4,7.1000000000000005,10.6,0.6999999999999994,0.6467391304347827,0.8408471377647306
2010,KCR,16.6,7.4,8.700000000000001,0.5000000000000002,0.5722891566265059,0.8253446115288222
2010,LAA,25.5,14.299999999999999,9.1,2.1,0.4509803921568628,0.7752002670226971
2010,LAD,27.4,11.399999999999999,14.3,1.7000000000000008,0.4744525547445256,0.8232758620689656
2010,MIL,35.099999999999994,27.5,5.300000000000001,2.3,0.3817663817663818,0.8027602785145889
2010,MIN,44.19999999999999,27.400000000000002,13.299999999999999,3.4999999999999996,0.36651583710407254,0.7491014220972024
2010,NYM,30.400000000000006,16.4,11.200000000000001,2.8000000000000007,0.3980263157894737,0.7917523009561254
2010,NYY,48.599999999999994,31.89999999999999,12.700000000000001,3.9999999999999996,0.3703703703703704,0.7857276293667103
2010,OAK,34.59999999999999,20.900000000000002,12.1,1.5999999999999999,0.34971098265895967,0.8010473397570173
2010,PHI,39.00000000000001,24.400000000000002,12.3,2.2999999999999994,0.4256410256410256,0.7782360684510751
2010,PIT,8.2,4.199999999999998,3.5999999999999996,0.3999999999999999,0.8780487804878049,0.814611671785871
2010,SDP,39.900000000000006,23.099999999999994,8.0,8.799999999999999,0.32330827067669166,0.7224950232249503
2010,SEA,13.499999999999998,2.200000000000001,11.5,-0.2,1.088888888888889,0.8882758620689655
2010,SFG,41.1,23.4,13.2,4.499999999999999,0.39659367396593675,0.7520165256738146
2010,STL,34.3,23.9,11.299999999999999,-0.9000000000000001,0.5276967930029155,0.841941391941392
2010,TBR,47.4,31.199999999999992,11.0,5.2,0.41139240506329117,0.7495546558704451
2010,TEX,40.3,24.099999999999998,10.9,5.300000000000001,0.44913151364764275,0.7897133354450427
2010,TOR,36.50000000000001,21.099999999999994,13.600000000000001,1.8000000000000005,0.38082191780821906,0.7873002697655115
2010,WSN,25.5,15.599999999999998,6.3,3.6,0.4784313725490196,0.8100240096038415
2011,- - -,37.099999999999994,16.399999999999995,18.2,2.4999999999999996,0.3773584905660378,0.8299993398032616
